"sid","tech","species","tissue","involve_cancer","count_matrix_dir"
"Human_Breast_Andersson_10142021_ST_C5","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_C5_count.csv"
"Human_Breast_Andersson_10142021_ST_C6","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_C6_count.csv"
"Human_Breast_Andersson_10142021_ST_D1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_D1_count.csv"
"Human_Breast_Andersson_10142021_ST_D2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_D2_count.csv"
"Human_Breast_Andersson_10142021_ST_D3","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_D3_count.csv"
"Human_Breast_Andersson_10142021_ST_D4","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_D4_count.csv"
"Human_Breast_Andersson_10142021_ST_D5","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_D5_count.csv"
"Human_Breast_Andersson_10142021_ST_D6","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_D6_count.csv"
"Human_Breast_Andersson_10142021_ST_E1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_E1_count.csv"
"Human_Breast_Andersson_10142021_ST_E2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_E2_count.csv"
"Human_Breast_Andersson_10142021_ST_E3","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_E3_count.csv"
"Human_Breast_Andersson_10142021_ST_F1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_F1_count.csv"
"Human_Breast_Andersson_10142021_ST_F2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_F2_count.csv"
"Human_Breast_Andersson_10142021_ST_F3","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_F3_count.csv"
"Human_Breast_Andersson_10142021_ST_G1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_G1_count.csv"
"Human_Breast_Andersson_10142021_ST_G2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_G2_count.csv"
"Human_Breast_Andersson_10142021_ST_G3","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_G3_count.csv"
"Human_Breast_Andersson_10142021_ST_H1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_H1_count.csv"
"Human_Breast_Andersson_10142021_ST_H2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_H2_count.csv"
"Human_Breast_Andersson_10142021_ST_H3","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_H3_count.csv"
"Human_Breast_He_06222020_ST_BC23209_C1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23209_C1_count.csv"
"Human_Breast_He_06222020_ST_BC23209_C2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23209_C2_count.csv"
"Human_Breast_He_06222020_ST_BC23209_D1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23209_D1_count.csv"
"Human_Breast_He_06222020_ST_BC23268_C1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23268_C1_count.csv"
"Human_Breast_He_06222020_ST_BC23268_C2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23268_C2_count.csv"
"Human_Breast_He_06222020_ST_BC23268_D1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23268_D1_count.csv"
"Human_Breast_He_06222020_ST_BC23269_C1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23269_C1_count.csv"
"Human_Breast_He_06222020_ST_BC23269_C2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23269_C2_count.csv"
"Human_Breast_He_06222020_ST_BC23269_D1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23269_D1_count.csv"
"Human_Breast_He_06222020_ST_BC23270_D2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23270_D2_count.csv"
"Human_Breast_He_06222020_ST_BC23270_E1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23270_E1_count.csv"
"Human_Breast_He_06222020_ST_BC23270_E2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23270_E2_count.csv"
"Human_Breast_He_06222020_ST_BC23272_D2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23272_D2_count.csv"
"Human_Breast_He_06222020_ST_BC23272_E1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23272_E1_count.csv"
"Human_Breast_He_06222020_ST_BC23272_E2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23272_E2_count.csv"
"Human_Breast_He_06222020_ST_BC23277_D2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23277_D2_count.csv"
"Human_Breast_He_06222020_ST_BC23277_E1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23277_E1_count.csv"
"Human_Breast_He_06222020_ST_BC23277_E2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23277_E2_count.csv"
"Human_Breast_He_06222020_ST_BC23287_C1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23287_C1_count.csv"
"Human_Breast_He_06222020_ST_BC23287_C2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23287_C2_count.csv"
"Human_Breast_He_06222020_ST_BC23287_D1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23287_D1_count.csv"
"Human_Breast_He_06222020_ST_BC23288_D2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23288_D2_count.csv"
"Human_Breast_He_06222020_ST_BC23288_E1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23288_E1_count.csv"
"Human_Breast_He_06222020_ST_BC23288_E2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23288_E2_count.csv"
"Human_Breast_He_06222020_ST_BC23377_C1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23377_C1_count.csv"
"Human_Breast_He_06222020_ST_BC23377_C2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23377_C2_count.csv"
"Human_Breast_He_06222020_ST_BC23377_D1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23377_D1_count.csv"
"Human_Breast_He_06222020_ST_BC23450_D2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23450_D2_count.csv"
"Human_Breast_He_06222020_ST_BC23450_E1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23450_E1_count.csv"
"Human_Breast_He_06222020_ST_BC23450_E2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23450_E2_count.csv"
"Human_Breast_He_06222020_ST_BC23506_C1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23506_C1_count.csv"
"Human_Breast_He_06222020_ST_BC23506_C2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23506_C2_count.csv"
"Human_Breast_He_06222020_ST_BC23506_D1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23506_D1_count.csv"
"Human_Breast_He_06222020_ST_BC23508_D2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23508_D2_count.csv"
"Human_Breast_He_06222020_ST_BC23508_E1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23508_E1_count.csv"
"Human_Breast_He_06222020_ST_BC23508_E2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23508_E2_count.csv"
"Human_Breast_He_06222020_ST_BC23567_D2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23567_D2_count.csv"
"Human_Breast_He_06222020_ST_BC23567_E1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23567_E1_count.csv"
"Human_Breast_He_06222020_ST_BC23567_E2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23567_E2_count.csv"
"Human_Breast_He_06222020_ST_BC23803_D2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23803_D2_count.csv"
"Human_Breast_He_06222020_ST_BC23803_E1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23803_E1_count.csv"
"Human_Breast_He_06222020_ST_BC23803_E2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23803_E2_count.csv"
"Human_Breast_He_06222020_ST_BC23810_D2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23810_D2_count.csv"
"Human_Breast_He_06222020_ST_BC23810_E1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23810_E1_count.csv"
"Human_Breast_He_06222020_ST_BC23810_E2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23810_E2_count.csv"
"Human_Breast_He_06222020_ST_BC23895_C1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23895_C1_count.csv"
"Human_Breast_He_06222020_ST_BC23895_C2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23895_C2_count.csv"
"Human_Breast_He_06222020_ST_BC23895_D1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23895_D1_count.csv"
"Human_Breast_He_06222020_ST_BC23901_C2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23901_C2_count.csv"
"Human_Breast_He_06222020_ST_BC23901_D1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23901_D1_count.csv"
"Human_Breast_He_06222020_ST_BC23903_C1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23903_C1_count.csv"
"Human_Breast_He_06222020_ST_BC23903_C2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23903_C2_count.csv"
"Human_Breast_He_06222020_ST_BC23903_D1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23903_D1_count.csv"
"Human_Breast_He_06222020_ST_BC23944_D2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23944_D2_count.csv"
"Human_Breast_He_06222020_ST_BC23944_E1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23944_E1_count.csv"
"Human_Breast_He_06222020_ST_BC23944_E2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC23944_E2_count.csv"
"Human_Breast_He_06222020_ST_BC24044_D2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC24044_D2_count.csv"
"Human_Breast_He_06222020_ST_BC24044_E1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC24044_E1_count.csv"
"Human_Breast_He_06222020_ST_BC24044_E2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC24044_E2_count.csv"
"Human_Breast_He_06222020_ST_BC24105_C1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC24105_C1_count.csv"
"Human_Breast_He_06222020_ST_BC24105_C2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC24105_C2_count.csv"
"Human_Breast_He_06222020_ST_BC24105_D1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC24105_D1_count.csv"
"Human_Breast_He_06222020_ST_BC24220_D2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC24220_D2_count.csv"
"Human_Breast_He_06222020_ST_BC24220_E1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC24220_E1_count.csv"
"Human_Breast_He_06222020_ST_BC24220_E2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC24220_E2_count.csv"
"Human_Breast_He_06222020_ST_BC24223_D2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC24223_D2_count.csv"
"Human_Breast_He_06222020_ST_BC24223_E1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC24223_E1_count.csv"
"Human_Breast_He_06222020_ST_BC24223_E2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_He_06222020_ST_BC24223_E2_count.csv"
"Human_Breast_Stahl_07012016_ST_Layer1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Stahl_07012016_ST_Layer1_count.csv"
"Human_Breast_Stahl_07012016_ST_Layer2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Stahl_07012016_ST_Layer2_count.csv"
"Human_Breast_Stahl_07012016_ST_Layer3","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Stahl_07012016_ST_Layer3_count.csv"
"Human_Breast_Stahl_07012016_ST_Layer4","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Stahl_07012016_ST_Layer4_count.csv"
"Human_Heart_Asp_12122019_ST_ST_Sample_4.5-5PCW_1","ST","human","heart","False","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Heart_Asp_12122019_ST_ST_Sample_4.5-5PCW_1_count.csv"
"Human_Heart_Asp_12122019_ST_ST_Sample_4.5-5PCW_2","ST","human","heart","False","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Heart_Asp_12122019_ST_ST_Sample_4.5-5PCW_2_count.csv"
"Human_Heart_Asp_12122019_ST_ST_Sample_4.5-5PCW_3","ST","human","heart","False","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Heart_Asp_12122019_ST_ST_Sample_4.5-5PCW_3_count.csv"
"Human_Heart_Asp_12122019_ST_ST_Sample_4.5-5PCW_4","ST","human","heart","False","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Heart_Asp_12122019_ST_ST_Sample_4.5-5PCW_4_count.csv"
"Human_Heart_Asp_12122019_ST_ST_Sample_6.5PCW_1","ST","human","heart","False","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Heart_Asp_12122019_ST_ST_Sample_6.5PCW_1_count.csv"
"Human_Heart_Asp_12122019_ST_ST_Sample_6.5PCW_2","ST","human","heart","False","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Heart_Asp_12122019_ST_ST_Sample_6.5PCW_2_count.csv"
"Human_Heart_Asp_12122019_ST_ST_Sample_6.5PCW_3","ST","human","heart","False","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Heart_Asp_12122019_ST_ST_Sample_6.5PCW_3_count.csv"
"Human_Heart_Asp_12122019_ST_ST_Sample_6.5PCW_4","ST","human","heart","False","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Heart_Asp_12122019_ST_ST_Sample_6.5PCW_4_count.csv"
"Human_Heart_Asp_12122019_ST_ST_Sample_6.5PCW_5","ST","human","heart","False","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Heart_Asp_12122019_ST_ST_Sample_6.5PCW_5_count.csv"
"Human_Heart_Asp_12122019_ST_ST_Sample_6.5PCW_6","ST","human","heart","False","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Heart_Asp_12122019_ST_ST_Sample_6.5PCW_6_count.csv"
"Human_Heart_Asp_12122019_ST_ST_Sample_6.5PCW_7","ST","human","heart","False","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Heart_Asp_12122019_ST_ST_Sample_6.5PCW_7_count.csv"
"Human_Heart_Asp_12122019_ST_ST_Sample_6.5PCW_8","ST","human","heart","False","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Heart_Asp_12122019_ST_ST_Sample_6.5PCW_8_count.csv"
"Human_Heart_Asp_12122019_ST_ST_Sample_6.5PCW_9","ST","human","heart","False","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Heart_Asp_12122019_ST_ST_Sample_6.5PCW_9_count.csv"
"Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_1","ST","human","heart","False","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_1_count.csv"
"Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_2","ST","human","heart","False","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_2_count.csv"
"Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3","ST","human","heart","False","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_count.csv"
"Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_4","ST","human","heart","False","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_4_count.csv"
"Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_5","ST","human","heart","False","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_5_count.csv"
"Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_6","ST","human","heart","False","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_6_count.csv"
"Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep1","ST","mouse","olfactory bulb","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep1_count.csv"
